32735 , 0 ,
32725 , -803 ,
32696 , -1606 ,
32647 , -2408 ,
32578 , -3209 ,
32489 , -4007 ,
32381 , -4803 ,
32253 , -5596 ,
32106 , -6386 ,
31940 , -7172 ,
31754 , -7954 ,
31549 , -8731 ,
31326 , -9503 ,
31083 , -10268 ,
30822 , -11028 ,
30542 , -11781 ,
30243 , -12527 ,
29927 , -13266 ,
29592 , -13996 ,
29240 , -14718 ,
28870 , -15431 ,
28482 , -16135 ,
28078 , -16829 ,
27656 , -17513 ,
27218 , -18187 ,
26764 , -18849 ,
26293 , -19500 ,
25807 , -20140 ,
25305 , -20767 ,
24787 , -21382 ,
24255 , -21984 ,
23708 , -22572 ,
23147 , -23147 ,
22572 , -23708 ,
21984 , -24255 ,
21382 , -24787 ,
20767 , -25305 ,
20140 , -25807 ,
19500 , -26293 ,
18849 , -26764 ,
18187 , -27218 ,
17513 , -27656 ,
16829 , -28078 ,
16135 , -28482 ,
15431 , -28870 ,
14718 , -29240 ,
13996 , -29592 ,
13266 , -29927 ,
12527 , -30243 ,
11781 , -30542 ,
11028 , -30822 ,
10268 , -31083 ,
9503 , -31326 ,
8731 , -31549 ,
7954 , -31754 ,
7172 , -31940 ,
6386 , -32106 ,
5596 , -32253 ,
4803 , -32381 ,
4007 , -32489 ,
3209 , -32578 ,
2408 , -32647 ,
1606 , -32696 ,
803 , -32725 ,
0 , -32735 ,
-803 , -32725 ,
-1606 , -32696 ,
-2408 , -32647 ,
-3209 , -32578 ,
-4007 , -32489 ,
-4803 , -32381 ,
-5596 , -32253 ,
-6386 , -32106 ,
-7172 , -31940 ,
-7954 , -31754 ,
-8731 , -31549 ,
-9503 , -31326 ,
-10268 , -31083 ,
-11028 , -30822 ,
-11781 , -30542 ,
-12527 , -30243 ,
-13266 , -29927 ,
-13996 , -29592 ,
-14718 , -29240 ,
-15431 , -28870 ,
-16135 , -28482 ,
-16829 , -28078 ,
-17513 , -27656 ,
-18187 , -27218 ,
-18849 , -26764 ,
-19500 , -26293 ,
-20140 , -25807 ,
-20767 , -25305 ,
-21382 , -24787 ,
-21984 , -24255 ,
-22572 , -23708 ,
-23147 , -23147 ,
-23708 , -22572 ,
-24255 , -21984 ,
-24787 , -21382 ,
-25305 , -20767 ,
-25807 , -20140 ,
-26293 , -19500 ,
-26764 , -18849 ,
-27218 , -18187 ,
-27656 , -17513 ,
-28078 , -16829 ,
-28482 , -16135 ,
-28870 , -15431 ,
-29240 , -14718 ,
-29592 , -13996 ,
-29927 , -13266 ,
-30243 , -12527 ,
-30542 , -11781 ,
-30822 , -11028 ,
-31083 , -10268 ,
-31326 , -9503 ,
-31549 , -8731 ,
-31754 , -7954 ,
-31940 , -7172 ,
-32106 , -6386 ,
-32253 , -5596 ,
-32381 , -4803 ,
-32489 , -4007 ,
-32578 , -3209 ,
-32647 , -2408 ,
-32696 , -1606 ,
-32725 , -803 ,
