-244 , 0 ,
4 , -1 ,
3 , -1 ,
-1 , -3 ,
1 , 0 ,
2 , -1 ,
1 , -1 ,
1 , 5 ,
1457 , 7297 ,
0 , 0 ,
0 , 0 ,
1 , -2 ,
0 , 0 ,
0 , 0 ,
1 , 0 ,
2 , 3 ,
-5 , -17 ,
0 , -1 ,
-1 , -2 ,
-1 , -2 ,
0 , 0 ,
-3 , -3 ,
-4 , -3 ,
-4 , -3 ,
4 , 0 ,
2 , 1 ,
3 , 0 ,
1 , -3 ,
2 , 1 ,
5 , 2 ,
5 , 2 ,
10 , 7 ,
5256 , 5253 ,
0 , -1 ,
-1 , -1 ,
-2 , -2 ,
0 , 0 ,
0 , -2 ,
-2 , -2 ,
-3 , -3 ,
-12 , -4 ,
0 , 0 ,
0 , -1 ,
0 , -3 ,
0 , 0 ,
-1 , 0 ,
0 , -1 ,
1 , 0 ,
20 , 9 ,
-3 , -1 ,
-3 , 0 ,
-1 , -1 ,
-2 , 0 ,
-2 , -3 ,
-3 , -3 ,
-4 , -3 ,
1 , -1 ,
-2 , 0 ,
-1 , -3 ,
0 , -4 ,
-1 , -2 ,
1 , 0 ,
0 , -2 ,
0 , -2 ,
0 , -2 ,
0 , -2 ,
0 , -1 ,
-3 , 0 ,
0 , 0 ,
-1 , -3 ,
-1 , -2 ,
2 , -1 ,
-29 , 7 ,
0 , 0 ,
0 , 0 ,
-2 , -2 ,
0 , 0 ,
0 , -1 ,
1 , 0 ,
2 , -1 ,
2 , 1 ,
-2 , 1 ,
-3 , 2 ,
-2 , 0 ,
-1 , 0 ,
-2 , 1 ,
-2 , 2 ,
-2 , 2 ,
-15 , 10 ,
-1 , 1 ,
-1 , 1 ,
-3 , -2 ,
-1 , 1 ,
0 , 2 ,
-2 , 1 ,
-3 , 2 ,
-11 , 13 ,
-1 , 0 ,
-1 , 2 ,
-2 , 1 ,
0 , 1 ,
-2 , -1 ,
-2 , 1 ,
-3 , 2 ,
-3 , 3 ,
0 , 0 ,
-1 , -1 ,
-3 , -1 ,
0 , 0 ,
1 , -1 ,
1 , -1 ,
2 , -4 ,
-15 , 35 ,
0 , 2 ,
1 , 1 ,
-1 , 0 ,
1 , 0 ,
-1 , 1 ,
-1 , 2 ,
0 , 0 ,
2 , -1 ,
1 , 0 ,
-1 , 1 ,
-4 , -1 ,
0 , 0 ,
1 , 1 ,
-2 , -1 ,
-2 , -1 ,
0 , 0 ,
-2 , 1 ,
-1 , 1 ,
1 , 3 ,
1 , 0 ,
-2 , 1 ,
-1 , 1 ,
1 , 3 ,
3 , 3 ,
0 , 0 ,
0 , 0 ,
-1 , 2 ,
0 , 0 ,
2 , 0 ,
1 , 0 ,
2 , 3 ,
-15 , -35 ,
0 , 1 ,
1 , 2 ,
1 , 2 ,
0 , 0 ,
-1 , 1 ,
0 , 1 ,
-2 , -1 ,
-2 , -2 ,
0 , -1 ,
-1 , 0 ,
-1 , 3 ,
0 , -1 ,
-1 , 0 ,
-1 , 0 ,
-2 , -1 ,
-10 , -13 ,
0 , 1 ,
1 , 1 ,
2 , 2 ,
0 , 0 ,
0 , 2 ,
2 , 2 ,
1 , 1 ,
-14 , -10 ,
0 , 0 ,
0 , 1 ,
0 , 3 ,
0 , 0 ,
1 , 0 ,
0 , 1 ,
1 , 2 ,
2 , -1 ,
3 , 3 ,
3 , 2 ,
1 , 1 ,
2 , 2 ,
2 , 3 ,
3 , 3 ,
6 , 3 ,
-27 , -7 ,
2 , 2 ,
1 , 3 ,
0 , 4 ,
1 , 2 ,
-1 , 0 ,
0 , 2 ,
0 , 2 ,
0 , 2 ,
2 , 2 ,
2 , 1 ,
3 , 0 ,
2 , 0 ,
1 , 3 ,
1 , 2 ,
0 , 1 ,
5 , 1 ,
0 , 0 ,
0 , 0 ,
2 , 2 ,
0 , 0 ,
2 , 1 ,
1 , 0 ,
2 , -1 ,
22 , -9 ,
2 , -1 ,
3 , -2 ,
2 , 0 ,
1 , 0 ,
2 , 1 ,
2 , 0 ,
0 , 2 ,
-11 , 4 ,
3 , -1 ,
3 , -1 ,
3 , 2 ,
3 , -1 ,
4 , -4 ,
6 , -3 ,
11 , -8 ,
5257 , -5253 ,
5 , 0 ,
5 , -2 ,
2 , -1 ,
4 , -1 ,
2 , 1 ,
2 , -1 ,
1 , 0 ,
9 , -1 ,
0 , 0 ,
1 , 1 ,
3 , 1 ,
0 , 0 ,
3 , 1 ,
3 , 1 ,
4 , -2 ,
-3 , 17 ,
8 , -4 ,
7 , -3 ,
1 , 0 ,
7 , -2 ,
5 , -1 ,
5 , -2 ,
6 , -8 ,
1464 , -7299 ,
11 , -2 ,
13 , -1 ,
4 , 1 ,
12 , 0 ,
15 , -1 ,
18 , 1 ,
34 , 1 ,
